window,test_start,mom_12_1,mom_6_1,rev_1m,vol_3m,pct_52w_high
0,2013-07-05,0.07315140687152803,0.028517238930232943,0.01761974041514299,0.09496685976963438,0.00613366637249514
1,2014-01-03,-0.06788988480076373,-0.07185573960970217,-0.0438561659323575,-0.04965002140047738,-0.06866133108822298
2,2014-07-07,0.035053058146065505,0.07369924020235075,0.06467507727338855,-0.11735391641967838,0.1146347423021893
3,2015-01-05,0.05872565014319377,0.021219721397905837,-0.013681265583942132,-0.034392977670750634,0.08326294326745652
4,2015-07-07,0.11769535542699305,0.0795385645820961,0.056184586702535524,-0.09990956911045253,0.10893442699763684
5,2016-01-05,-0.02335479021879827,0.01078160556811271,-0.06390487462497493,-0.04240513797157537,-0.028469395918508333
6,2016-07-06,-0.15259903914105333,-0.0674555419999898,-0.00394100231919031,0.10924847113343794,-0.1029077583709105
7,2017-01-04,0.016305420245581147,-0.03148335085318638,0.011848741359551301,-0.136506522593187,0.0929167243737647
8,2017-07-06,0.004071866332506127,0.04749378606263146,-0.05389948379652289,-0.0085319864238558,-0.015089468073530683
9,2018-01-04,-0.010386289988297406,-0.010237252815107274,-0.0023166289065981367,-0.0329106616075963,-0.01992186944077882
10,2018-07-06,-0.037878361407777235,0.007583799474406052,-0.043559359295001765,-0.0745039406185557,0.01789641783073837
11,2019-01-07,0.11655976155231879,0.0929881392000697,-0.046255126957455414,-0.15530462526981634,0.12444181653928159
12,2019-07-09,-0.02847199833739354,-0.06690040516453102,-0.07823088804176928,-0.012458265509961076,-0.06313536823575981
13,2020-01-07,0.09201435656588133,0.10508283738597814,-0.010676656945761564,-0.06554880638681918,0.07660523958471992
14,2020-07-08,-0.03710518651706863,0.0005643031524534793,-0.007228972495750821,0.10326309688448068,-0.0595425226549314
15,2021-01-06,-0.15728300310952725,-0.10000107286719817,-0.1298186962789452,-0.05992588262744777,-0.12407876832033862
16,2021-07-08,-0.07238921794712719,-0.09788230299901855,-0.02312302938969018,-0.07711137010079647,-0.030184271670331077
17,2022-01-05,0.004116705758744574,-0.01900901138876957,0.007450132576431899,-0.04986131572575869,0.024872068000715113
18,2022-07-08,0.027298137187033982,-0.0016779727540479307,-0.03957052225149411,0.030992204548295182,-0.030335359555229563
19,2023-01-06,-0.0053552789137799595,-0.04293592625236548,-0.010317773421574751,0.01599224997596294,-0.012549587107585093
20,2023-07-11,0.06753374676863706,0.03875012654419764,0.006911861604486303,-0.021497193662592413,0.04879954050120064
21,2024-01-09,0.040384978519755456,-0.03297276760664268,0.032119129440722656,-0.08194139620040637,0.05450981891224215
22,2024-07-11,0.08846011053112272,0.03021455901170179,0.04836736858348622,-0.021344605283064318,0.08413075564089283
23,2025-01-10,-0.003850532937455823,-0.04833072902812171,-0.0009317681379022357,0.02504780736013899,-0.029452968728897178
24,2025-07-15,0.021764978043436266,0.04475169692302293,-0.0036783869714475414,0.03173036783394043,0.01996167890415382
