window,test_start,mom_12_1,mom_6_1,rev_1m,vol_3m,pct_52w_high
0,2015-11-12,0.10558664884866607,0.05599615413452589,0.05236639807353895,0.10810983650661339,-0.0371153021113121
1,2016-05-06,-0.08189532365692412,0.07152515910504242,0.04421245760506665,-0.283112151964611,0.26674032028297107
2,2016-10-31,0.21211844559996823,0.14758817484574638,-0.020498639392776654,-0.19115759668691037,0.18734436814459043
3,2017-04-25,0.19735552644694074,0.1457569783493651,0.014127822102259442,-0.2516294208708769,0.20897118688171756
4,2017-10-18,0.33238994958917156,0.23720742534301859,0.010417355791070705,-0.3176442309812691,0.318908334981823
5,2018-04-12,-0.06315246298575002,-0.030748400128783573,-0.035113369233958296,0.07194061842575317,-0.06959282745794505
6,2018-10-05,0.003991408548229882,0.10594697821705322,0.07527179066495542,0.09812822785870853,-0.060598582549048846
7,2019-04-01,0.1323092393389698,0.022904951551797902,0.008507654242580608,0.18767426577929497,-0.062386832058430916
8,2019-09-24,0.07163894732663836,-0.014580328750931694,0.05835924441092544,0.043961506062089546,0.06190178347747098
9,2020-03-18,-0.018762266414392003,-0.0013363500443244883,0.030550814379655726,-0.058918041607677614,0.03605976743899707
10,2020-09-10,0.04834455779162641,0.18343146464846935,0.015657788539144468,-0.10476675619770923,0.08785685618139075
11,2021-03-05,0.09700048955397662,-0.002459236913251918,0.10748841168402155,-0.0644081027798727,0.08809431144938186
12,2021-08-30,0.006263203623581507,-0.08449437012926872,-0.029890578070628077,0.11563794175630797,-0.10829747186333571
13,2022-02-22,-0.016385944949434815,-0.007723926840348068,0.053348152264517924,0.010408534998698933,-0.018990685454279115
14,2022-08-17,0.10238558329694757,0.02910508650992118,0.06777588130741782,0.15233728945871208,-0.007639566121808679
