window,test_start,mom_12_1,mom_6_1,rev_1m,vol_3m,pct_52w_high
0,2013-01-04,0.005576765194513931,0.04425349556950216,-0.035208977748338165,0.12098383532710862,-0.043772488995294206
1,2013-07-08,0.1388200622947812,0.082793161166119,-0.0035205075798317065,0.13815097105762256,-0.009953385747010489
2,2014-01-06,-0.08622741656606546,-0.10648297503158827,-0.06924455311061237,-0.0055999691592999905,-0.12012651447760087
3,2014-07-08,-0.005828892652117534,0.06190019939152213,0.12580918283599124,-0.0913735503201962,0.15048889003062274
4,2015-01-06,0.08853071165516158,0.016380840100631615,0.007008923744435219,-0.01697380413921916,0.12518054181244648
5,2015-07-08,0.08717013099262375,0.06693330284803416,0.013763874410364982,-0.23190144614902305,0.11692065140413861
6,2016-01-06,-0.11609970834016844,-0.06786177239626957,-0.1424250865359618,0.06711755229594488,-0.11935176193342584
7,2016-07-07,-0.19421084427351606,-0.054136166999290344,-0.005173363865472056,0.15756017541388118,-0.11795871266839662
8,2017-01-05,0.0789089815127365,0.03329276710269087,0.08203903189469948,-0.11859271666629485,0.14272366748020576
9,2017-07-07,0.11675959449769469,0.07352338342488163,0.030401714800430066,0.12690419205496456,0.007905776883659251
10,2018-01-05,-0.01648728366107819,0.015576507405474517,-0.017094744500952077,-0.03577127046764764,-0.023647122944325624
11,2018-07-09,-0.11226571335269457,0.0029245855652158116,-0.015500200681156564,-0.13553285559194692,0.05294935393800068
12,2019-01-08,0.15513115425553503,0.1359706975127965,0.03401884406490116,-0.20824412623067634,0.19457914989796463
13,2019-07-10,-0.04796717318959969,-0.08620648532639566,-0.1296393599707468,0.05427031839771917,-0.133078822225202
14,2020-01-08,0.06899875216219016,0.020980740907150863,0.018756646189056064,0.016522730903090817,0.035020515034002546
15,2020-07-09,-0.3415337263380308,-0.04031538273411637,0.06002251116354118,0.4534001327351201,-0.2989911270335376
16,2021-01-07,-0.10486191430287736,-0.05391324997647384,-0.0647844783125047,-0.02794111598764318,-0.07002055484530402
17,2021-07-09,0.011064304606385397,-0.07089452308523915,-0.08525015700738117,-0.0423734254450799,-0.05607998488032302
18,2022-01-06,0.06267453303288381,0.04244291874375839,0.021348407727085024,-0.1946740865589214,0.12034500171901034
19,2022-07-11,-0.08750065569204822,-0.037972055896053854,-0.031559571163396194,0.11773502969021105,-0.10942320046188639
20,2023-01-09,0.014918795523340458,0.0049049456407294825,-0.06260738263878704,0.0743271768171073,-0.004282213034619884
21,2023-07-12,0.16495538216935632,0.132352623395943,-0.04077811038749265,0.032454090801259064,0.06303262165513421
22,2024-01-10,0.002359452052294423,-0.04847206401409638,-0.027627419845480075,-0.07319982162797554,0.011928804256542741
23,2024-07-12,0.08823468462184855,0.046931502118151,0.01374314905788482,-0.05700615151807211,0.0662437351750078
24,2025-01-13,0.017087184368703167,-0.02017357052966945,-0.04236566663923536,0.16462233480785232,-0.10695277952993351
25,2025-07-16,0.05861829498430928,0.09939039828881933,0.03498800762905866,0.012884508749004027,0.07651749960129903
